protocol_id,protocol_version,analysis_role,include_in_primary_accuracy_denominators,region_vantage,case_id,public_case_uid,model_id,family_id,tier_id,position_id,repeat,started_at,finished_at,http_status,transport_complete,finish_reason,returned_model,system_fingerprint,time_to_first_sse_event_ms,time_to_first_reasoning_token_ms,time_to_first_answer_token_ms,time_to_end_ms,prompt_tokens,completion_tokens,total_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,reasoning_tokens,valid_json,exact_keys,exact_match,field_accuracy,matched_fields,total_fields,grader_errors,prompt_tier_calibration_passed,thinking_disabled_violation,sse_event_count,sse_parse_error_count,sse_done_received,stream_error_class,error_class,observed_provider_cost_usd_cache_miss_upper_bound,generator_bundle_sha256,base_fixture_sha256,execution_salt_sha256,salted_user_prompt_sha256,expected_sha256,request_sha256,raw_response_sha256
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r1,c3060485ad8c20003ddba533,deepseek-v4-flash,single_record,32k,beginning,1,2026-08-07T00:06:46.410339Z,2026-08-07T00:06:48.460872Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,852,,1703,2050,32061,36,32097,0,32061,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,b29381082c7362a3d4a4db80686cca799b8d253cb4d9b90932c80ce8ca774836,7f096af4f7892f9abfba45e2bb37ffd4d4bc3fdfe87b9d5719c26cfd69370677,3fbb0ca95ccc7afc665c6266b5efa2b403c5484241bbe4277aa5326405c139ed,6d5542187a69d1d612db76787c6108bc05101431ea6fda54d91fe165526a062e,db2e44a5eb405f4a28c0ba2d502071ba8ed63a909d1ca93001f2c52b6f27adc9,2b53c683f5d5cc14689642b04442052b0f164288644d62e7911ff3ce76acbd35
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r2,75aab71d80e7ef150d3d053b,deepseek-v4-flash,single_record,32k,beginning,2,2026-08-07T00:06:40.709554Z,2026-08-07T00:06:43.167086Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,1036,,2138,2457,32058,36,32094,0,32058,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,40cf747f55ec7602c922927ee17ba24197830a8818f2344f40c18827e648526f,fc015120b6fb56e55e5130cef5b66af968ee40be93db1ab88fea4dcb526e51ee,61ad9f68b2c7f75bde580ae878bc8dd1d226dbee212f1c10d7c297a5e744f88e,bd58c73620db29e0bbcbe7750ad2277cd2bf5d7a36c3f429914df29414ea5697,d8fd91742074832643c42dbe6339bca2fb964067073e748d130003f6008eadc1,409703702998c261969bea92afc38070418ae3fbc1f2feb689dc6bf79cdd11ff
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r3,d62e785f717b1410c640e338,deepseek-v4-flash,single_record,32k,beginning,3,2026-08-07T00:06:38.148244Z,2026-08-07T00:06:40.312514Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,806,,1775,2164,32059,36,32095,0,32059,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,61d2830c92d2d7cc5ac1c24d813da308fb833526cf4157669d676d528e54b296,3db77a4f4a39eed93af7ec1df78591fa2eb14444422f7cc20447e0d92983fc82,e8a7af7e1656cbf68281e8faac3e5e47af694141361cf82b2616329d4cb223b0,24023f5954628ff47206a14bc1f89dde57373d1d7b256f0884b74810ea6ce645,670b85bf6cec3c478df24c857aa1d0517fac4a8dd9312c61f4ecced44a910b5b,6f9e26fc27acc7ddf1e0ab930e3956f316c7fb521a0476bafc75759dda38b4ed
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r1,381656be2d03ff9db24ecf89,deepseek-v4-flash,single_record,32k,end,1,2026-08-06T23:50:26.571343Z,2026-08-06T23:50:28.779448Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,527,,1834,2208,32060,36,32096,0,32060,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,42df70dbf1e621ede10419008cdd5cdb8c8755860e66a30ce3aee1c4e35952dc,70ce4e8ae181e0a02fc1c644320e5caf2eb7da5578e7ca4524c2ffb9036a24bd,f5f8cb4f2ef0eaaa0292df12be9ead7d8b665069a2619db18f20a440dcecdb42,25998eeeb8107d3fe0e1d6f8abe5b98c4d8cd60fa872e7f6fd2e968dc67e03d5,285befb38d4ca13a68383c0a2d699f76491df216037260c436c64e31938c54f2,0b8afd71b52ad3bc659eacafbb8af8baf75b5a1153b5fdf4b0ae20ce2ca24fe9
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r2,0910ca41eb6012d35d90ee80,deepseek-v4-flash,single_record,32k,end,2,2026-08-06T23:50:03.661923Z,2026-08-06T23:50:05.521846Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,516,,1521,1860,32061,36,32097,0,32061,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,d1490b4b204590f7ba9b70ff473f13b37db26c08c6b6ca9925f64385c05ed62f,6cde4c4da9fbca74e25d5067c81480e46927f4c8672e0b62595004897a417c34,bee49519dded22acc02f3194dcdad959023c676f00da80c0c932520253d51b4d,1ef0fdd4d18762e7c48743e605491b3a01bc61419b628362be38356e3edeaf37,b6a402fb6607c7b3e055faaf8afac782b36cf49aa9fe6a24b845a25f7634c13b,b35c5be31f74e4d11b49f581fed30230917094be00a4af1d22ef4e1febd747e7
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r3,e7459d6e1665ff6aa8c13022,deepseek-v4-flash,single_record,32k,end,3,2026-08-07T00:06:48.895752Z,2026-08-07T00:06:51.473280Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,983,,2256,2577,32061,36,32097,0,32061,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,ca457918e7544cfa254ecb661c20391bb6027c901f5839dc46d84725f6b688a6,2d9ba4127474c3a628e33e04df63d5f5faf7328cc47a340a27d1612fd0c9e1cf,adcda4516c3f34107fd2277cfa99acf9a945f96ed1b36f2d1628daff2535daad,22dedcd1f063e3f40511c1d57a11e8193ae00eed2e1aad37e53bbb2867f4471f,485a1ac187e590ad2a2e17441ecd89365bd5bb58eecd98570444c20cdff7a0be,73c5442dc5f828a1b118918e6e12a2d2f40b11a100fb6c7453a17d8c3719e8c1
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r1,302ca6d433f885085f36499d,deepseek-v4-flash,single_record,32k,middle,1,2026-08-06T23:44:30.562404Z,2026-08-06T23:44:32.158844Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,497,,1300,1596,32059,36,32095,0,32059,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,c9affe28fbf2395bb029151b19e3cb6d1124e7e592fec0f25848188b585b4bf8,dc5e7f5126d0053acf872e510a1f451eb20eeb2b252edbd315ee85eda5364dec,1094245da0d8d8fb774bc444e886e8fa38254b5c5282b487ce7bf4640ff77e0a,6474a4b9bdfebcb9419b15511f94766c27e5b5ab291e3e522102fe0fd73bf6bf,b066c4640c203a0cc7e5b23d7a97fc0d2fe2dc6109cbe9c4d88e6b5f32d0c659,0cf643b090c0e4d07f4fc2cc3651551e9334c8e04663321370c0d1d11982969d
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r2,f4de377729a924215ae7f336,deepseek-v4-flash,single_record,32k,middle,2,2026-08-06T23:51:54.129518Z,2026-08-06T23:51:55.995443Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,504,,1543,1866,32058,36,32094,0,32058,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,b871022c21f4698334d19141ccb738ee807ffdfffde5442c533aa54293d73fc3,2264f9f803fa23153c2a989ff0fbe99574e34ab068f1659ef8b22d82e8b67e1d,2fa221c9b1e5d5ac88c3d79db125598e4466cf16cb70344a2bc7bcc3843eda9f,bad0b7f82f174820544bdd7f39af6454bbd8d9041b81f26e331b1d9cda5b1e69,51f238a7ea818459e85297784dfd54d34c263002712b242696afaef969d277fa,588f9c20c4f707cb05a06fde6f9d1a82891aadb41d2e79bb0c000dfb0e114d65
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r3,41f5bcc77f60403bbbba99eb,deepseek-v4-flash,single_record,32k,middle,3,2026-08-07T00:06:43.587182Z,2026-08-07T00:06:46.024778Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,725,,2012,2438,32057,36,32093,0,32057,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.004499,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,99ffe3efb5c61b82444e1c04b86437cd4bf1dc081a2432b60010b90aac2b6935,fcff272a1dba05c9ca691ae5fff107a9c4c98606beaf917e80da547825b0b7ef,68ce47ac33cba7a3f692d37cd7375e4c797aabb15bb77064ae35b8808c1875b3,0e9423e80af298ee548109bd2af924aa1dfd2f74dcddcfecca17fca04610d26a,60a48d05a18b2642529ea13f4ea6588949b1ed47004dd38000461794a4cf29da,329838ac475ed20f9276e04921ddd65e3c2666eff7701035e579f482bf9fbd52
deepseek-v4-long-context-retrieval-v1.1.0,1.1.0,india_latency_validation,False,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r1,f76b7f07d8b39d0fce874406,deepseek-v4-flash,single_record,950k,beginning,1,2026-08-06T23:45:55.450836Z,2026-08-06T23:46:13.748451Z,200,True,stop,deepseek-v4-flash,fp_a18b46594c_prod0820_fp8_kvcache_20260402,3220,,17583,18298,950063,36,950099,0,950063,,True,True,True,1.0,6,6,,True,False,40,0,True,,,0.133019,c7c3470fae03995666326d69329941cd05dcc9a1bc297fd5c2a680ee891a8a9c,e27db9bd3a6136e38d77df4e2184d98df857cfcefc103da003d188a4030b99ea,7581adf21dbe9124e4a23a3aa2f4b6a64c0c64ba2dabd72ecd452f0d8bef09a3,508f3a9e3ba4d69f26e1680e330c04fc766e1b91e4a725b8c8815319e5d58b5f,348a5550a8c35f70257ddb66d856e1a69e051ab69b93b434634d2c1b61257915,e18addb8913f7c142499f056f3944289c9feab354ccbce90022e3790cf3c19fa,238fb771740e79d27267b555d599ee7f28a55a7e4649a398768b35af26a5b8a0
